id,type,author,instrumentType,region,universe,delay,decay,neutralization,truncation,pasteurization,unitHandling,nanHandling,language,visualization,code,description,operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags,classifications,grade,stage,status,pnl,bookSize,longCount,shortCount,turnover,returns,drawdown,margin,fitness,sharpe,startDate,checks,os,train,test,prod,competitions,themes,team,pyramids,self_corr,max_corr,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,prod_corr
VeGe8NY,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(rank(winsorize(ts_backfill(mdl110_score, 120), std=4)),densify(oth455_relation_n2v_p10_q200_w5_kmeans_cluster_5))",,5,2025-07-19T14:30:18-04:00,,2025-07-19T18:30:22-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7953683,20000000,3511,3492,0.0803,0.0768,0.0461,0.001913,2.16,2.75,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.75}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.16}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0803}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0803}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.81}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.45}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.4, 'pyramids': [{'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/OTHER', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/MODEL', 'GLB/D1/OTHER']",0,,,,,,,,,,,,,,,,,,,,0
nrNa15d,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_delta(winsorize(ts_backfill(mdl110_score, 120), std=4), 240),densify(pv13_1l_scibr))",,5,2025-07-19T13:47:05-04:00,,2025-07-19T17:47:07-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,6519717,20000000,3080,3075,0.1065,0.063,0.0349,0.001182,1.95,2.75,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.75}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.95}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.1065}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.1065}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.87}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 8, 'startDate': '2023-01-20', 'endDate': '2015-01-21', 'limit': 1.61, 'value': 2.09}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,,,,,,,,,,,,,,,,,,,,0
oZq6GEl,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_mean(winsorize(ts_backfill(mdl110_score, 120), std=4), 5),densify(bucket(rank(fnd28_value_05480/close), range='0.2, 1, 0.2')))",,8,2025-07-19T18:08:57-04:00,,2025-07-19T22:09:00-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,8917117,20000000,3750,3451,0.0728,0.0861,0.0592,0.002367,2.27,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.27}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0728}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0728}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.88}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'WARNING', 'year': 3, 'startDate': '2023-01-20', 'endDate': '2020-01-21', 'limit': 1.58, 'value': 1.33}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 0, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/FUNDAMENTAL', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL', 'GLB/D1/FUNDAMENTAL']",0,,,,,,,,,,,,,,,,,,,,0
aG738rR,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_scale(ts_sum(winsorize(ts_backfill(mdl110_score, 120), std=4), 5),densify(pv13_52_minvol_1m_sector))",,5,2025-07-19T16:16:46-04:00,,2025-07-19T20:16:53-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,6310367,20000000,4534,4141,0.0785,0.061,0.0415,0.001554,1.91,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.91}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0785}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0785}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.76}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.28}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,,,,,,,,,,,,,,,,,,,,0
bAjE2mR,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_rank(ts_sum(winsorize(ts_backfill(mdl110_score, 120), std=4), 5),densify(pv13_52_minvol_1m_all_delay_1_sector))",,5,2025-07-19T16:06:04-04:00,,2025-07-19T20:06:06-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,6345746,20000000,4374,4325,0.0746,0.0613,0.0362,0.001644,1.92,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.92}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0746}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0746}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.87}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.41}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,,,,,,,,,,,,,,,,,,,,0
p3N3MXV,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(rank(winsorize(ts_backfill(mdl110_score, 120), std=4)),densify(oth455_relation_n2v_p10_q200_w2_kmeans_cluster_5))",,5,2025-07-19T14:32:21-04:00,,2025-07-19T18:32:23-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7931347,20000000,3511,3492,0.0804,0.0766,0.0462,0.001907,2.14,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.14}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0804}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0804}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.8}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.44}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.4, 'pyramids': [{'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/OTHER', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/MODEL', 'GLB/D1/OTHER']",0,,,,,,,,,,,,,,,,,,,,0
G9GQj5P,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_neutralize(rank(winsorize(ts_backfill(mdl110_score, 120), std=4)),densify(oth455_relation_n2v_p10_q50_w2_kmeans_cluster_5))",,5,2025-07-19T14:00:09-04:00,,2025-07-19T18:00:13-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7881657,20000000,3512,3491,0.0804,0.0761,0.0471,0.001895,2.14,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.14}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0804}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0804}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.79}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.39}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.4, 'pyramids': [{'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/OTHER', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/MODEL', 'GLB/D1/OTHER']",0,,,,,,,,,,,,,,,,,,,,0
r82d5Y1,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_scale(ts_delta(winsorize(ts_backfill(mdl110_score, 120), std=4), 240),densify(pv13_52_minvol_1m_sector))",,5,2025-07-19T13:37:05-04:00,,2025-07-19T17:37:07-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,5142883,20000000,3194,3182,0.1152,0.0497,0.0209,0.000862,1.73,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.73}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.1152}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.1152}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.97}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.19}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,,,,,,,,,,,,,,,,,,,,0
qVNgVEE,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_neutralize(winsorize(ts_backfill(mdl110_score, 120), std=4),densify(pv13_3l_scibr))",,4,2025-07-19T12:30:22-04:00,,2025-07-19T16:30:24-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,9337788,20000000,3578,3356,0.0883,0.0902,0.0665,0.002043,2.33,2.74,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.74}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.33}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0883}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0883}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 2.0}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'WARNING', 'year': 3, 'startDate': '2023-01-20', 'endDate': '2020-01-21', 'limit': 1.58, 'value': 1.33}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,,,,,,,,,,,,,,,,,,,,0
x5NQm7J,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_neutralize(quantile(winsorize(ts_backfill(mdl110_score, 120), std=4)),densify(oth455_customer_n2v_p10_q50_w4_pca_fact3_cluster_20))",,5,2025-07-19T11:52:21-04:00,,2025-07-19T15:52:26-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,8738561,20000000,3073,3064,0.085,0.0844,0.0503,0.001985,2.24,2.72,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.72}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.24}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.085}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.085}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.95, 'value': 1.89}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.5}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.4, 'pyramids': [{'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/OTHER', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/MODEL', 'GLB/D1/OTHER']",0,,,,,,,,,,,,,,,,,,,,0
