id,type,author,instrumentType,region,universe,delay,decay,neutralization,truncation,pasteurization,unitHandling,nanHandling,language,visualization,code,description,operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags,classifications,grade,stage,status,pnl,bookSize,longCount,shortCount,turnover,returns,drawdown,margin,fitness,sharpe,startDate,checks,os,train,test,prod,competitions,themes,team,pyramids,self_corr,max_corr,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,prod_corr
VeGe8NY,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(rank(winsorize(ts_backfill(mdl110_score, 120), std=4)),densify(oth455_relation_n2v_p10_q200_w5_kmeans_cluster_5))",,5,2025-07-19T14:30:18-04:00,,2025-07-19T18:30:22-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7953683,20000000,3511,3492,0.0803,0.0768,0.0461,0.001913,2.16,2.75,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.75}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.16}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0803}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0803}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.96, 'value': 1.81}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.45}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.4, 'pyramids': [{'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/OTHER', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/MODEL', 'GLB/D1/OTHER']",0,0,,,,,,,,,,,,,,,,,,,0
3Jl7oqe,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_mean(winsorize(ts_backfill(mdl110_score, 120), std=4), 22),densify(industry))",,5,2025-07-19T17:33:36-04:00,,2025-07-19T21:33:41-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],"[{'id': 'DATA_USAGE:SINGLE_DATA_SET', 'name': 'Single Data Set Alpha'}]",,IS,UNSUBMITTED,8532578,20000000,3820,3478,0.0402,0.0824,0.0615,0.004103,2.12,2.61,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.61}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.12}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0402}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0402}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.9}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'LOW_2Y_SHARPE', 'result': 'PASS', 'value': 2.73, 'limit': 1.58}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 1, 'multiplier': 1.4, 'pyramids': [{'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,['GLB/D1/MODEL'],0,0,,,,,,,,,,,,,,,,,,,0
WJ76x1O,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_rank(ts_sum(winsorize(ts_backfill(mdl110_score, 120), std=4), 5),densify(bucket(rank(cap), range='0.1, 1, 0.1')))",,7,2025-07-19T16:03:11-04:00,,2025-07-19T20:03:16-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,6686766,20000000,4382,4323,0.0624,0.0646,0.0427,0.002071,1.88,2.61,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.61}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.88}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0624}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0624}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.76}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.24}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
ExlWpzR,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_neutralize(ts_sum(winsorize(ts_backfill(mdl110_score, 120), std=4), 5),densify(bucket(group_rank(cap,sector),range='0,1,0.1')))",,7,2025-07-19T15:55:05-04:00,,2025-07-19T19:55:07-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,8122812,20000000,4542,4162,0.0704,0.0785,0.0638,0.00223,2.07,2.61,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.61}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.07}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0704}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0704}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.8}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'WARNING', 'year': 3, 'startDate': '2023-01-20', 'endDate': '2020-01-21', 'limit': 1.58, 'value': 1.06}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
mQj3O09,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_delta(winsorize(ts_backfill(mdl110_growth, 120), std=4), 240),densify(pv13_2l_scibr))",,5,2025-07-19T15:46:01-04:00,,2025-07-19T19:46:05-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,4630968,20000000,3066,3089,0.0543,0.0447,0.0265,0.001648,1.56,2.61,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.61}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.56}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0543}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0543}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.54}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.41}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
mQ5Eg79,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_neutralize(ts_delta(winsorize(ts_backfill(mdl110_growth, 120), std=4), 240),densify(bucket(rank(fnd28_value_05480/close), range='0.2, 1, 0.2')))",,8,2025-07-19T15:16:16-04:00,,2025-07-19T19:16:19-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,4593437,20000000,3172,3205,0.0536,0.0444,0.0247,0.001655,1.56,2.61,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.61}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.56}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0536}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0536}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.67}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.49}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 0, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}, {'name': 'GLB/D1/FUNDAMENTAL', 'multiplier': 1.6}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL', 'GLB/D1/FUNDAMENTAL']",0,0,,,,,,,,,,,,,,,,,,,0
Og7ZwlR,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_mean(winsorize(ts_backfill(mdl110_score, 120), std=4), 22),densify(pv13_52_minvol_1m_sector))",,5,2025-07-19T17:37:51-04:00,,2025-07-19T21:37:55-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7253013,20000000,3776,3509,0.042,0.0701,0.0447,0.003338,1.95,2.6,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.6}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.95}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.042}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.042}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.81}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.68}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
r8joqp1,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_mean(winsorize(ts_backfill(mdl110_score, 120), std=4), 22),densify(pv13_3l_scibr))",,5,2025-07-19T17:35:32-04:00,,2025-07-19T21:35:34-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7940230,20000000,3609,3318,0.0406,0.0767,0.0552,0.003782,2.04,2.6,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.6}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.04}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0406}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0406}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.84}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.7}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
zekmO5o,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_mean(winsorize(ts_backfill(mdl110_score, 120), std=4), 22),densify(pv13_52_minvol_1m_all_delay_1_sector))",,5,2025-07-19T17:38:50-04:00,,2025-07-19T21:38:51-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,7315557,20000000,3775,3507,0.042,0.0707,0.0449,0.003363,1.96,2.61,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.61}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.96}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.042}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.042}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.84}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.69}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
l1jVNM7,REGULAR,JZ45236,EQUITY,GLB,MINVOL1M,1,6,SUBINDUSTRY,0.08,ON,VERIFY,ON,FASTEXPR,False,"group_zscore(ts_mean(winsorize(ts_backfill(mdl110_score, 120), std=4), 22),densify(bucket(rank(cap), range='0.1, 1, 0.1')))",,7,2025-07-19T17:34:59-04:00,,2025-07-19T21:35:03-04:00,model110_glb_2step,False,False,,,['model110_glb_2step'],[],,IS,UNSUBMITTED,8425982,20000000,3805,3493,0.0413,0.0814,0.0651,0.003944,2.1,2.6,2013-01-20,"[{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.6}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 2.1}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0413}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0413}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.91, 'value': 1.85}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'DATA_DIVERSITY', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'IS_LADDER_SHARPE', 'result': 'PASS', 'year': 2, 'startDate': '2023-01-20', 'endDate': '2021-01-21', 'limit': 2.02, 'value': 2.66}, {'result': 'PASS', 'name': 'MATCHES_PYRAMID', 'effective': 2, 'multiplier': 1.0, 'pyramids': [{'name': 'GLB/D1/PV', 'multiplier': 1.0}, {'name': 'GLB/D1/MODEL', 'multiplier': 1.4}]}, {'result': 'WARNING', 'name': 'MATCHES_THEMES', 'themes': [{'id': 'M4ZY3YD', 'multiplier': 2.0, 'name': 'GLB high turnover Theme'}]}, {'name': 'POWER_POOL_CORRELATION', 'result': 'PENDING'}]",,,,,,,,"['GLB/D1/PV', 'GLB/D1/MODEL']",0,0,,,,,,,,,,,,,,,,,,,0
